"Nome Locale";"Capienza";"Provincia";"Comune";"Genere locale";"CAP";"Numero civico";"Toponimo";" Ingressi";"Giornate solari";"Indirizzo"
"ALBA";"676";"VERONA";"Verona";"CINEMA";"37137";"6";"VIA";"872";"12";"SANT'ELISABETTA"
"ALCIONE";"446";"VERONA";"Verona";"CINEMA";"37131";"20";"VIA";"64310";"224";"GIUSEPPE VERDI"
"ARENA ESTIVA FIUME";"400";"VERONA";"Verona";"CINEMA";"37100";"7";"VIA";"11174";"73";"PONTIDA"
"ARENA TORCOLO";"400";"VERONA";"Cavaion Veronese";"TEATRO";"37010";"SNC";"VIA";"309";"3";"GIROLAMO FRACASTORO"
"ARENA VERDE";"100";"VERONA";"Trevenzuolo";"ALL'APERTO";"37060";"28";"VIALE";"67";"2";"LUIGI ROSSIGNOLI"
"ASTRA";"472";"VERONA";"San Giovanni Lupatoto";"TEATRO";"37057";"5";"VIA";"20062";"109";"ROMA"
"AURORA";"333";"VERONA";"Verona";"CINEMA";"37131";"17";"VIA";"4651";"73";"GEROLAMO FRACASTORO"
"BALLADORO";"400";"VERONA";"Povegliano Veronese";"PARCO";"37064";"SNC";"VIA";"402";"4";"BALLADORO"
"CAMPLOY";"389";"VERONA";"Verona";"TEATRO";"37129";"32";"VIA";"1138";"6";"CANTARANE"
"CAPITAN BOVO";"339";"VERONA";"Isola della Scala";"TEATRO";"37063";"2B";"VIA";"13125";"131";"RIMEMBRANZA"
"CASTELLO SCALIGERO";"300";"VERONA";"Valeggio sul Mincio";"ALL'APERTO";"37067";"SNC";"VIA";"944";"6";"CASTELLO"
"CASTELLO SCALIGERO - CINEMA ALL'APERTO";"500";"VERONA";"Villafranca di Verona";"ALL'APERTO";"37069";"SNC";"PIAZZA";"2561";"15";"CASTELLO"
"CENTRALE";"700";"VERONA";"San Bonifacio";"CINEMA";"37047";"9";"VIA";"4199";"51";"GUGLIELMO MARCONI"
"CINECENTRUM - SALA CINQUE";"90";"VERONA";"Legnago";"CINEMA";"37045";"13";"VIA";"15873";"326";"MANTOVA"
"CINECENTRUM - SALA DUE";"144";"VERONA";"Legnago";"CINEMA";"37045";"13";"VIA";"22544";"333";"MANTOVA"
"CINECENTRUM - SALA QUATTRO";"120";"VERONA";"Legnago";"CINEMA";"37045";"13";"VIA";"19616";"324";"MANTOVA"
"CINECENTRUM - SALA TRE";"81";"VERONA";"Legnago";"CINEMA";"37045";"13";"VIA";"6837";"216";"MANTOVA"
"CINECENTRUM - SALA UNO";"108";"VERONA";"Legnago";"CINEMA";"37045";"13";"VIA";"11754";"287";"MANTOVA"
"CORALLO";"224";"VERONA";"Bardolino";"CINEMA";"37011";"SNC";"VIA";"1723";"18";"FOSSE"
"CORTILE S. TERESA";"200";"VERONA";"Verona";"ALL'APERTO";"37135";"23";"VIA";"775";"12";"MOLINARA"
"CRISTALLO  - SALA 1";"1087";"VERONA";"San Bonifacio";"CINEMA";"37047";"9";"CORSO";"33842";"340";"ITALIA"
"CRISTALLO  - SALA 2";"627";"VERONA";"San Bonifacio";"CINEMA";"37047";"9";"CORSO";"35174";"340";"ITALIA"
"CRISTALLO  - SALA 3";"240";"VERONA";"San Bonifacio";"CINEMA";"37047";"9";"CORSO";"18459";"341";"ITALIA"
"DIAMANTE";"512";"VERONA";"Verona";"CINEMA";"37136";"5";"VIA";"22789";"176";"PIETRO ZECCHINATO"
"FIUME";"500";"VERONA";"Verona";"CINEMA";"37123";"14";"VICOLO";"47865";"321";"CERE"
"ISTITUTO AGRARIO BOVOLINO";"100";"VERONA";"Buttapietra";"ALL'APERTO";"37060";"1";"VIALE DELL'";"294";"8";"AGRICOLTURA"
"JOY";"100";"VERONA";"Verona";"SEDE ASSOCIAZ.";"37121";"1";"PIAZZETTA";"40";"1";"SEREGO"
"KAPPADUE";"500";"VERONA";"Verona";"CINEMA";"37123";"1/B";"VIA";"42620";"265";"ANTONIO ROSMINI"
"MIGNON";"144";"VERONA";"Cerea";"CINEMA";"37053";"2";"VIA";"13762";"207";"DON DARIO CORDIOLI"
"MOTTA";"300";"VERONA";"San Bonifacio";"ALL'APERTO";"37047";"1";"VIA";"173";"2";"MOTTO"
"NUOVO";"350";"VERONA";"Caprino Veronese";"CINEMA";"37013";"SNC";"VIA";"1253";"19";"ALCIDE DE GASPERI"
"NUOVO";"440";"VERONA";"Verona";"CINEMA";"37132";"7/C";"VIA";"7095";"47";"VINCENZO MONTI"
"PARROCCHIALE RIZZA";"200";"VERONA";"Verona";"SALA";"37135";"7";"PIAZZA";"1314";"17";"24 FEBBRAIO 1945"
"PERONI";"260";"VERONA";"San Martino Buon Albergo";"CINEMA";"37036";"23";"PIAZZA DEL";"2995";"41";"POPOLO"
"PIAZZA DEL CAMPO";"300";"VERONA";"Ronco all'Adige";"ALL'APERTO";"37055";"SNC";"PIAZZA DEL";"83";"1";"CAMPO"
"PIAZZA SAN MARTINO";"100";"VERONA";"Nogarole Rocca";"ALL'APERTO";"37060";"SNC";"VIA";"120";"2";"EUROPA"
"PICCOLO SALIERI";"99";"VERONA";"Legnago";"TEATRO";"37045";"11";"VIALE";"17";"1";"DON MINZONI"
"PINDEMONTE";"500";"VERONA";"Verona";"CINEMA";"37124";"2";"VIA";"25344";"208";"SABOTINO"
"PRINCIPE";"394";"VERONA";"Cerea";"CINEMA";"37053";"11";"VIA";"1500";"69";"ROMA"
"RISTORI";"498";"VERONA";"Verona";"TEATRO";"37122";"7";"VIA";"1593";"6";"TEATRO RISTORI"
"RIVOLI - SALA 1";"100";"VERONA";"Verona";"CINEMA";"37121";"10";"PIAZZA";"32621";"366";"BRA'"
"RIVOLI - SALA 2";"136";"VERONA";"Verona";"CINEMA";"37121";"10";"PIAZZA";"50135";"361";"BRA'"
"RIVOLI - SALA 3";"100";"VERONA";"Verona";"CINEMA";"37121";"10";"PIAZZA";"31525";"366";"BRA'"
"SALUS";"429";"VERONA";"Legnago";"CINEMA";"37045";"9";"VIA";"10704";"132";"MARSALA"
"SANTA MARIA IN CHIAVICA";"100";"VERONA";"Verona";"SALA";"37121";"SNC";"VIA";"46";"4";"SANTA MARIA ANTICA"
"S. MASSIMO";"310";"VERONA";"Verona";"TEATRO";"37139";"6";"VIA";"5891";"68";"BRIGATA AOSTA"
"SMERALDO";"500";"VERONA";"Valeggio sul Mincio";"TEATRO";"37067";"SNC";"PIAZZA";"846";"6";"SAN ROCCO"
"S. TERESA";"356";"VERONA";"Verona";"TEATRO";"37135";"23";"VIA";"351";"7";"MOLINARA"
"STIMATE";"396";"VERONA";"Verona";"CINEMA";"37122";"3";"VIA";"2273";"10";"CARLO MONTANARI"
"TEATRO COMUNALE";"233";"VERONA";"Sant'Anna d'Alfaedo";"TEATRO";"37020";"SNC";"PIAZZA";"95";"3";"VITTORIO EMANUELE"
"TEATRO CONTARDO FERRINI";"326";"VERONA";"Cologna Veneta";"CINEMA";"37044";"10";"VIA";"2792";"23";"ANTONIO PAPESSO"
"TEATRO DI TORRI DEL BENACO";"300";"VERONA";"Torri del Benaco";"TEATRO";"37010";"SNC";"VIA";"1333";"10";"GARDESANA"
"TEATRO LABORATORIO ARSENALE";"150";"VERONA";"Verona";"SALA";"37126";"8";"PIAZZA";"278";"5";"ARSENALE"
"TEATRO NUOVO";"844";"VERONA";"Verona";"TEATRO";"37121";"10";"PIAZZA";"877";"13";"FRANCESCO VIVIANI"
"TEATRO PARROCCHIALE";"300";"VERONA";"Bussolengo";"TEATRO";"37012";"3";"PIAZZA";"1607";"18";"NUOVA"
"THE SPACE CINEMA - SALA 1";"123";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"37235";"365";"TRENTINO"
"THE SPACE CINEMA - SALA 2";"89";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"28751";"365";"TRENTINO"
"THE SPACE CINEMA - SALA 3";"101";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"30036";"366";"TRENTINO"
"THE SPACE CINEMA - SALA 4";"131";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"40995";"366";"TRENTINO"
"THE SPACE CINEMA - SALA 5";"154";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"41423";"361";"TRENTINO"
"THE SPACE CINEMA - SALA 6";"135";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"38378";"365";"TRENTINO"
"THE SPACE CINEMA - SALA 7";"219";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"61882";"365";"TRENTINO"
"THE SPACE CINEMA - SALA 8";"279";"VERONA";"Sona";"CINEMA";"37060";"1";"VIA";"75364";"363";"TRENTINO"
"UCI CINEMAS VERONA - SALA 1";"396";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"75861";"364";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 10";"152";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"24751";"360";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 11";"178";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"38263";"363";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 12";"172";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"39216";"364";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 2";"163";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"40678";"363";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 3";"130";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"20280";"363";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 4";"130";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"26994";"364";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 5";"142";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"30895";"365";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 6";"188";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"34898";"366";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 7";"297";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"54815";"364";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 8";"138";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"26608";"364";"MONTE AMIATA"
"UCI CINEMAS VERONA - SALA 9";"168";"VERONA";"San Giovanni Lupatoto";"CINEMA";"37057";"5";"VIA";"36412";"360";"MONTE AMIATA"
"VALPANTENA";"285";"VERONA";"Grezzana";"CINEMA";"37023";"1";"PIAZZA";"4304";"48";"CARLO EDERLE"
"VIRTUS";"228";"VERONA";"Sommacampagna";"CINEMA";"37066";"1";"VIA";"9035";"69";"OSPEDALETTO"
"VITTORIA";"334";"VERONA";"Bosco Chiesanuova";"CINEMA";"37021";"1";"PIAZZA";"8072";"57";"GUGLIELMO MARCONI"
