Provincia;Nome;Indirizzo;Città;CAP;Telefono
Verona;Auditorium Comunale;Piazza San Francesco 1;Villafranca di Verona;37069;457902901
Verona;Auditorium Mario Pigozzi;Via Fabbrica;Tregnago;37039;456508630
Verona;Centro Polifunzionale;Via Oratorio 2;Villa Bartolomea;37049;
Verona;Chiesetta di Sant'Antonio Abate;Via Roma;Casaleone;37052;349-4741219
Verona;Cinema Teatro Alba;Via Santa Elisabetta 6;Verona;37137;45956861
Verona;Cinema Teatro Alcione;Via Verdi 20;Verona;37131;0458400848 - 0458006100
Verona;Cinema Teatro Astra;Via Carlo Alberto 2;Bovolone;37051;457100063
Verona;Cinema Teatro Capitan Bovo;Via Rimembranza 2/b;Isola della Scala;37063;457302667
Verona;Cinema Teatro Cristallo Multisala;Corso Italia 9;San Bonifacio;37047;456133077
Verona;Cinema Teatro Don Mazza;Via Chiesa 19;San Pietro in Cariano;37029;3452754509
Verona;Cinema Teatro Ferrini;Via Papesso 10;Cologna Veneta;37044;442412758
Verona;Cinema Teatro Nuovo;Via Teatro Nuovo;Caprino Veronese;37013;3288959874
Verona;Cinema Teatro Nuovo San Michele;Via Monti 7c;Verona;37132;45974244
Verona;Cinema Teatro Rizza;Piazza 24 Febbraio (La Rizza);Verona;37062;3421686746
Verona;Cinema Teatro Salus;Via Pier Domenico Frattini 14;Legnago;37045;044221350 - 3356159841
Verona;Cinema Teatro San Massimo;Via Brigata Aosta 8;Verona;37100;458902596
Verona;Cinema Teatro Santa Teresa;Via Molinara 23;Verona;37135;045508380 - 3471114009
Verona;Cinema Teatro Stimate;Via Montanari 1;Verona;37122;458000878
Verona;Cinema Teatro Valpantena;Piazza Carlo Ederle 1;Grezzana;37023;458650227
Verona;Cinema Teatro Verdi;Corso Garibaldi 37;Villafranca di Verona;37069;457901799
Verona;Cinema Teatro Virtus;Via Ospedaletto 4 (Giardini);Sommacampagna;37066;3497795283 - 3382622057
Verona;Cinema Teatro Vittoria;Piazza Marconi;Bosco Chiesanuova;37021;045 6780383 - 0457050088
Verona;Dim Teatro Comunale;Via San Martino 4 (loc. Sandra');Castelnuovo del Garda;37014;457599049
Verona;Gardaland Theatre;Localita' Ronchi;Castelnuovo del Garda;37014;456449555
Verona;Piastra Polivalente Loris Romano;Piazza della Pace;Casaleone;37052;442328714
Verona;Piccolo Teatro di Giulietta;Via Cappello 23;Verona;37121;458006100
Verona;Prova Rama;Via Capuccina;Castagnaro;3511;0411 5412674
Verona;Regione Test Interno;Via caneve;Villa Bartolomea;51254;
Verona;Sala Convegni Nascimbeni;Via Nascimbeni 12 (Castelletto);Brenzone;37010;456598700
Verona;Sala Miro';Corso Vittorio Emanuele 31;Villafranca di Verona;37069;457902844
Verona;Sala Polifunzionale Parrocchiale;Corso Fracaroli 14;Villa Bartolomea;37049;44291014
Verona;Sala Polivalente di Caselle;Via Scuole 49;Sommacampagna;37066;045 8971357
Verona;Teatro Astra;Via Roma 3/b;San Giovanni Lupatoto;37057;459250825
Verona;Teatro Beato Monsignor Nascimbeni;Via Monsignor Nascimbeni c/o Teatro Parrocchiale (Castelletto);Brenzone;37010;457430163
Verona;Teatro Camploy;Via Cantarane 32;Verona;37100;458009549
Verona;Teatro Centrale;Via Marconi 9;San Bonifacio;37047;457613382
Verona;Teatro Cerro;Piazza Don Angelo Vinco 2;Cerro Veronese;37020;3482502992 - 3922565954
Verona;Teatro Comunale di Asparetto;Piazza A. Manzoni 1 (Asparetto);Cerea;37050;3465252052
Verona;Teatro Comunale di Cologna Veneta;Piazza del Mandamento;Cologna Veneta;37044;44285165
Verona;Teatro Corallo;Via 4 Spade 19;Verona;37121;45595990
Verona;Teatro Corallo;Via Fosse 13 (Parrocchia);Bardolino;37011;456210819
Verona;Teatro Dante;Via Verona 8 (San Pietro);Legnago;37045;3341313691 - 3385944136
Verona;Teatro dell'Angelo;Via Vivaldi 21 (Vallese);Oppeano;37050;457134704
Verona;Teatro del Movieland Park;Località Fossalta 58;Lazise;37017;456969900
Verona;Teatro di Corbiolo;Via Don Antonio Squaranti 11;Bosco Chiesanuova;37021;045 7050838
Verona;Teatro di Velo;Piazza Vittoria 2;Velo Veronese;37030;457835566
Verona;Teatro Filarmonico;Via Dei Mutilati 4/k;Verona;37122;0458005151 - 0458009108 (x settembre accademia)
Verona;Teatro Filippini;Vicolo Dietro Campanile Filippini 1;Verona;37121;45592709
Verona;Teatro Furioli;Via Casella;Malcesine;37018;456570499
Verona;Teatro Gaetano Zinetti;Interno Castello 2;Sanguinetto;37058;0442/81066
Verona;Teatro Glisenti;Via Pescheroa 4;Colognola ai Colli;37030;
Verona;Teatro Guido Bianchi;Piazza degli Alpini;Pescantina;37026;456764255
Verona;Teatro K2;Piazza Vittoria 15;Casaleone;37052;0442 331713
Verona;Teatro Karol Wojtyla;Piazza Marconi 3 (Santo Stefano);Zimella;37040;442490011
Verona;Teatro Laboratorio all'Arsenale;Piazza Arsenale;Verona;37126;045 8031321
Verona;Teatro Mignon;Piazza Madonna della Salute (Porto);Legnago;37045;3283688610
Verona;Teatro Nuovo;Piazza ViViani 10;Verona;37121;458006100
Verona;Teatro Parrocchiale;Piazza Nuova 3;Bussolengo;37012;457150541
Verona;Teatro Parrocchiale;Via Crosarola 17;Fumane;37022;3358182712 - 3331766845
Verona;Teatro Parrocchiale Circolo Noi San Martino;Via Rossini 1/1;Salizzole;37056;3345860344
Verona;Teatro Parrocchiale di Beccacivetta;Via Mascagni 21;Castel d'Azzano;37060;459215911
Verona;Teatro Parrocchiale di Bonavicina;Piazza Marconi;San Pietro di Morubio;37050;0456969000 (biblioteca)
Verona;Teatro Parrocchiale di Malcesine;Via Parrocchia 14;Malcesine;37018;457400065
Verona;Teatro Parrocchiale di Negrar;Via don Sempreboni 4;Negrar;37024;457500060
